number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_scale_pos_weight,params_subsample,state
38,0.5222497423005266,2025-11-16 19:26:04.894431,2025-11-16 19:26:06.141082,0 days 00:00:01.246651,0.007853043719396852,0.7280744546161457,1.3256150426175113,0.07119351900750606,0.04798707728927553,2,4,330,0.8531162206738712,0.9620892078548506,COMPLETE
39,0.5166008083119278,2025-11-16 19:26:06.142082,2025-11-16 19:26:07.097089,0 days 00:00:00.955007,0.0010427699848087832,0.8417571989576786,1.9032816768376657,0.07297757708116158,0.04422092680074235,3,3,305,0.8647704640229331,0.9699290076431053,COMPLETE
40,0.5248627015657864,2025-11-16 19:26:07.099089,2025-11-16 19:26:07.176243,0 days 00:00:00.077154,0.7838504675520219,0.7665840163312597,3.959159069315859,0.03338842846438661,0.11403449112488945,2,4,329,0.8417019180068048,0.8913922209146157,PRUNED
41,0.5298638700630989,2025-11-16 19:26:07.178242,2025-11-16 19:26:07.400878,0 days 00:00:00.222636,0.005331995473963169,0.7441173619647026,1.3838201082855066,0.3423521677241834,0.0326941116295768,2,2,463,1.8948961053954472,0.9598752508147248,PRUNED
42,0.51956940874036,2025-11-16 19:26:07.402879,2025-11-16 19:26:07.572079,0 days 00:00:00.169200,0.007274972209891321,0.6976112280584782,0.9073410391111556,0.11781214478912358,0.04708546107514296,2,4,355,1.0706621083383043,0.9274802580270708,PRUNED
43,0.5225023369946249,2025-11-16 19:26:07.573584,2025-11-16 19:26:07.922396,0 days 00:00:00.348812,0.00253400300710758,0.6681871430569565,1.157607276265623,0.01649757093510176,0.0286747015370603,2,5,263,0.7445216347785413,0.9804959905824363,PRUNED
44,0.4966405702266885,2025-11-16 19:26:07.924043,2025-11-16 19:26:08.011131,0 days 00:00:00.087088,0.018051079579424836,0.7098262217882869,1.6391662427473292,0.1704991931070236,0.06140758198692422,3,7,572,0.9254734622308881,0.9152933860469588,PRUNED
45,0.5218922367469545,2025-11-16 19:26:08.012338,2025-11-16 19:26:08.746564,0 days 00:00:00.734226,0.00850275213090426,0.9178640698574654,2.3102390797889227,0.06957028605184823,0.08215282876706342,4,3,426,1.231066986034867,0.9436499641133843,COMPLETE
46,0.5180959375606898,2025-11-16 19:26:08.748135,2025-11-16 19:26:09.718450,0 days 00:00:00.970315,0.0022457736565438748,0.9092111682222451,3.118309415960688,0.045384279598799544,0.08217153322736383,4,3,407,1.1953282456658656,0.8299741521937585,COMPLETE
47,0.5175704117894242,2025-11-16 19:26:09.719957,2025-11-16 19:26:10.571770,0 days 00:00:00.851813,0.008194325570841576,0.9331324201036912,2.3369215177382427,0.009524203736394237,0.091167136460405,4,3,358,1.2354333548574503,0.7360054224709873,COMPLETE
48,0.5175306226835381,2025-11-16 19:26:10.573770,2025-11-16 19:26:11.760534,0 days 00:00:01.186764,0.06190670217893503,0.9985539942995716,2.672964947120824,0.06999606051085819,0.11298368235478609,3,1,279,1.0947399127699402,0.5348778428976283,COMPLETE
49,0.5121305299257641,2025-11-16 19:26:11.762532,2025-11-16 19:26:12.715994,0 days 00:00:00.953462,0.032748488952374005,0.7837521142773161,1.9743103389056345,0.01980768765655378,0.059558736757154465,8,2,225,0.9272103817938442,0.9984893866471118,COMPLETE
50,0.5316166160317832,2025-11-16 19:26:12.717993,2025-11-16 19:26:12.853476,0 days 00:00:00.135483,0.14842805145290947,0.850539917682679,3.485674005739587,0.03780263167437036,0.03951831598515387,4,4,423,1.3142214518213455,0.8906262927626837,PRUNED
51,0.535005258237906,2025-11-16 19:26:12.853476,2025-11-16 19:26:12.983713,0 days 00:00:00.130237,0.014147096549180185,0.8038971509980569,2.568992301420862,0.09302925101731437,0.04460469601308733,2,5,472,1.9789582219646693,0.9509161564388117,PRUNED
52,0.5186407577999642,2025-11-16 19:26:12.984718,2025-11-16 19:26:13.808965,0 days 00:00:00.824247,0.002910938892596221,0.8652941330880282,1.365735211512793,0.13755650114427792,0.06958168457510522,3,3,535,0.7837790342496478,0.9728479614871864,COMPLETE
53,0.5149450806263145,2025-11-16 19:26:13.810472,2025-11-16 19:26:13.918491,0 days 00:00:00.108019,0.036680841147481894,0.8962350435067163,2.8295553724181266,0.8143654046584865,0.036407184377037376,2,4,486,0.6580337914819558,0.9380715525808413,PRUNED
54,0.5223066136947885,2025-11-16 19:26:13.920491,2025-11-16 19:26:14.075500,0 days 00:00:00.155009,0.007953630383242387,0.7715045233714912,0.8030661739680829,0.196328956651338,0.08292699733838985,7,5,734,1.01848314498411,0.9129612289049291,PRUNED
55,0.5132536807665342,2025-11-16 19:26:14.077005,2025-11-16 19:26:14.211727,0 days 00:00:00.134722,0.19507444984824066,0.748154876679318,0.4782141206860615,0.3647663223304074,0.020792323885426185,3,3,666,1.25715700824175,0.8453133121044021,PRUNED
56,0.5307782192100958,2025-11-16 19:26:14.213733,2025-11-16 19:26:14.491012,0 days 00:00:00.277279,0.3500004090699749,0.4852609664257278,2.111479163025277,0.07710660556958972,0.14964824541987393,2,2,630,1.5233837414279838,0.9515613918473118,PRUNED
57,0.5282951624211265,2025-11-16 19:26:14.492584,2025-11-16 19:26:14.814277,0 days 00:00:00.321693,0.6870486190422089,0.673672561647651,1.7403087575327383,0.6414437220644155,0.055815953512606535,3,4,508,1.3826351370919148,0.9821763423178386,PRUNED
58,0.5192860481420892,2025-11-16 19:26:14.815509,2025-11-16 19:26:15.114223,0 days 00:00:00.298714,0.01719455663421317,0.9417736018802269,2.30899664220907,0.02405279442939302,0.02981894459279421,4,9,731,1.8728628269673058,0.9333704638835234,PRUNED
59,0.510253563916803,2025-11-16 19:26:15.115732,2025-11-16 19:26:15.316349,0 days 00:00:00.200617,1.1932049117666157,0.718622434025731,1.5312548370618912,0.008521479173112483,0.18551851762241178,6,6,566,1.7647804983842563,0.6600328450022672,PRUNED
60,0.5044344473007712,2025-11-16 19:26:15.319100,2025-11-16 19:26:15.689202,0 days 00:00:00.370102,2.091289880828886,0.9758089989531433,1.9455208031392557,0.0028529387652120913,0.041795250386660474,2,3,429,1.5842778696304118,0.877708692197881,PRUNED
61,0.5198352418789437,2025-11-16 19:26:15.690817,2025-11-16 19:26:16.003883,0 days 00:00:00.313066,0.32879236460525535,0.6000654386500289,0.31518705760724947,0.02277887142558168,0.07388825332771018,5,6,635,1.6708212969211662,0.9042184058448266,PRUNED
62,0.4868456415050245,2025-11-16 19:26:16.006227,2025-11-16 19:26:16.257163,0 days 00:00:00.250936,0.5031212271626881,0.6223182505431225,1.2264042688771515,0.04209993990242179,0.049364394214108494,5,7,654,1.7391455214222358,0.9619454332689469,PRUNED
63,0.5115768871231596,2025-11-16 19:26:16.258161,2025-11-16 19:26:16.407011,0 days 00:00:00.148850,0.1784105694973519,0.5741868539544333,0.9130407955701814,0.06398646977784746,0.06813555098587609,4,6,376,1.8400180041140628,0.8462215455022108,PRUNED
64,0.49468333722832436,2025-11-16 19:26:16.408931,2025-11-16 19:26:16.581933,0 days 00:00:00.173002,0.6563619492888529,0.6305412247247341,3.08183995907569,0.02897976782593784,0.09747389562781825,5,5,676,1.6696682945886963,0.8802357270803601,PRUNED
65,0.5010691750408974,2025-11-16 19:26:16.583928,2025-11-16 19:26:16.787117,0 days 00:00:00.203189,0.009735969283841066,0.6593779550094988,0.5860573204717685,0.2338275807563284,0.07645579109227839,6,8,617,1.925780957034309,0.9400784491239887,PRUNED
66,0.4984926384669316,2025-11-16 19:26:16.788695,2025-11-16 19:26:16.887605,0 days 00:00:00.098910,3.861883304895944,0.6872541736018754,2.4689925802574146,0.09351585469473672,0.026178010353547058,2,4,582,1.8042662946212595,0.9843844109230786,PRUNED
